,rownum,adult,budget,genres,imdb_id,production_companies,release_date,revenue,runtime,DirectorHistoryGross,ActorHistoryAverage_Gross,cast,crew,id
0,0,0,30000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",tt0114709,"[{'name': 'Pixar Animation Studios', 'id': 3}]",1995-10-30,373554033.0,81.0,1.0,25891927192.0,"['/pQFoyx7rp09CJTAb932F2g8Nlho.jpg', '/uX2xVf6pMmPepxnvFWyBtjexzgY.jpg', '/h5BcaDMPRVLHLDzbQavec4xfSdt.jpg', '/eIo2jVVXYgjDtaHoF19Ll9vtW7h.jpg', '/oGE6JqPP2xH4tNORKNqxbNPYi7u.jpg', '/yGechiKWL6TJDfVE2KPSJYqdMsY.jpg', '/eryXT84RL41jHSJcMy4kS3u9y6w.jpg', '/vYGyvK4LzeaUCoNSHtsuqJUY15M.jpg', '/twnF1ZaJ1FUNUuo6xLXwcxjayBE.jpg', '/unMMIT60eoBM2sN2nyR7EZ2BvvD.jpg', '/r8GBqFBjypLUP9VVqDqfZ7wYbSs.jpg', None, '/zmAaXUdx12NRsssgHbk1T31j2x9.jpg']",/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg,862
1,1,0,65000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",tt0113497,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Teitler Film', 'id': 2550}, {'name': 'Interscope Communications', 'id': 10201}]",1995-12-15,262797249.0,104.0,62000000.0,224623664428.0,"['/sojtJyIV3lkUeThD7A2oHNm8183.jpg', '/7il5D76vx6QVRVlpVvBPEC40MBi.jpg', '/wBXvh6PJd0IUVNpvatPC1kzuHtm.jpg', '/j6iW0vVA23GQniAPSYI6mi4hiEW.jpg', '/7spiVQwmr8siw5QCcvvdRG3c7Lf.jpg', '/xm58rpMRVDHS0IGttw1pTlqGwkN.jpg', '/5tkt3qRZTco4sz604aTIarQ0m8W.jpg', '/10ZSyaUqzUlKTd60HmeiGhlytZG.jpg', '/hEoqDqtMO91hYWD5iDrDesnLDlt.jpg', '/8tAVDBRoZPjKfCbBDyh4iK9JNEp.jpg', '/vm0WQmuP8jEGgFTd3VCcJe7zpUi.jpg', '/qoqPX15J5jh6Sy0A9JvvRJIuw64.jpg', None, None, None, None, '/s7SVCOtvcuQ9wRQPZfUdahb5x88.jpg', '/l2vgzkLR7GRr8ugjZCILA0OiliI.jpg', '/1VqbvAohBwFhETZtDe76JXQcxKm.jpg', '/7QMHooY9ewNQlE24WKAOdwW0evU.jpg', None, '/fkcx9Tnp25UC5HlI2eW3nGvumsZ.jpg', None, None, None, None]",/fok4jaO62v5IP6hkpaaAcXuw2H.jpg,8844
2,3,0,16000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0114885,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]",1995-12-22,81452156.0,127.0,1.0,2412262831.0,"['/69ouDnXnmklYPr4sMJXWKYz81AL.jpg', '/tHkgSzhEuJKp5hqp0DZLad8HNZ9.jpg', '/zLQFwQTFtHkb8sbFdkPNamFI7jv.jpg', '/9DBu3r5O4fBosSS4FnSzFCVpm0O.jpg', '/rvvQWFQGeGR14WFVNe0Qg1J7uVY.jpg', '/mn5Nc5Q31GslpVVWs8p41W4TBma.jpg', '/lOlWhURNKyZHn71dvq7qC7fiwN6.jpg', '/8TTxzpuvvpw2tB8xZBCDslYupNU.jpg', '/wfZzRPJBdsx62GbkUimc1PShxyC.jpg', '/hQ6EBa6vgu7HoZpzms8Y10VL5Iw.jpg']",/4pMQkelS5lK661m9Kz3oIxLYiyS.jpg,31357
3,5,0,60000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt0113277,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Forward Pass', 'id': 675}, {'name': 'Warner Bros.', 'id': 6194}]",1995-12-15,187436818.0,170.0,75505856.0,476679998887.0,"['/ks7Ba8x9fJUlP9decBr6Dh5mThX.jpg', '/lvTSwUcvJRLAJ2FB5qFaukel516.jpg', '/AlhPeiH8R4reMNGNQ9ag1FPbuW9.jpg', '/c7BvyqlvqDkfkFqSBUCiR21fvTh.jpg', '/soINOuacuiThRb2LyPD4tTWve7C.jpg', '/3k7w5Y7gTAxN1JML7jhN8F8rVrS.jpg', '/xC408loYq7tQlkpS5YH68SoaDND.jpg', '/3bgmRDt02iGFVjhqCqstVyEeiwG.jpg', '/8TTxzpuvvpw2tB8xZBCDslYupNU.jpg', '/1oEP6OyYZgyLubgJXifx2GO78c7.jpg', '/7O3vgqgicfNeGr3leC0qB074fjX.jpg', '/cpINV4Q8IeVgSLyKz9ldzzAGr5n.jpg', '/o940ZhEYQYrOJdhRnmPrYoc9iOq.jpg', '/3vIdbP73nKnKpMAcgGWoALPF2JO.jpg', '/2b1hfAOoVjU7HoSbyHzGjl8DWs1.jpg', '/mn5Nc5Q31GslpVVWs8p41W4TBma.jpg', '/7b8cDfrmeheQbgryfCm7MeJOxxM.jpg', '/2E0cZdoJsdt1Lv4waG3s6fsfJeU.jpg', '/apj1bgzZI2efSdJolfp6KjhG8CF.jpg', '/egIApa0PPsHkAwrGnOAUtdqO6CQ.jpg', '/A3ZpoAui1ure4Nx2b83wUMI8lvv.jpg', '/oDK7NCnz2z2BFV8YquEpj8PBwed.jpg', '/eJEzFSHTjGdUz1JDThdTR5C1Jrd.jpg', '/qtho4ZUcValnVvscTGgyWfUr4VP.jpg', '/vlZ9FDMk2Xd1WHixPKxnheZoXgR.jpg', '/2TtFPBtz0Bd3CXAc4W5K6zF66RY.jpg', '/rXar2OrwkorJyQ9dRGf18zUEByW.jpg', '/kTa2cn8cuJdxKJBqFnYHibIknI9.jpg', '/aMBLygqfsJv3QrBCvvZ7wMc3Ejq.jpg', '/5zjSVtxyDExuf1913re1lG3k0Q3.jpg', '/z4HIKOQGQj8QXozFpQhj43xlmHm.jpg', '/iw8CUyekmYkGwmg0bp7foY4KvrH.jpg', '/gmKm7TiZduyyaLlNgWnQEZHTc5Q.jpg', '/RsHWe8vW3Hzbp8FeeEVqOD6Kux.jpg', '/vaK8wxkMeKJdZEdGUufyV0Ma24M.jpg', '/eENk49BVUS9grR2ffwEsYh9Wl69.jpg', '/lvY7hpUtU12BUD8mwQqFymnsxFI.jpg', '/u24mFuqwEE7kguXK32SS1UzIQzJ.jpg', '/TVlt1SNz2zoF2hTqY4HM3MnWHz.jpg', '/ffDrcpKGvjPgpcjd0t9T6EtQ2hz.jpg', '/dWA4Hsq8kkFXlmWERCoAh1OqK5M.jpg', '/6BcVGV4fUITs2jaThbOq4GHlAFU.jpg', '/mwCVkL9BG1ZCF9icbcKjE8TCS7H.jpg', '/rGHOmMfoykUQJTnryRAl2t4XXG6.jpg', '/9CJmJ5l7DZAtZvdbltalwoV2NfH.jpg', '/gTIclBDE9q6TFmOx7JIn32zTaVk.jpg', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",/nKmUpRpuQIsYubR7vIxVKhkbaTW.jpg,949
4,8,0,35000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",tt0114576,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Imperial Entertainment', 'id': 21437}, {'name': 'Signature Entertainment', 'id': 23770}]",1995-12-22,64350171.0,106.0,112382982.0,26324609819.0,"['/aqZ9RjL5j44HMlBMvTaawhHiGOH.jpg', '/3nNL6AvMAYq0BmHKM79RnRZVq3i.jpg', '/qSHAaRlh8yjTHtYReU0CUWgSFt5.jpg', '/k4WDNgYHOUgRaPQIsZUPUxl1lO6.jpg', '/oeqoxZ3WgQRUE1DusC68SACHHrC.jpg', None]",/dAuDsStGGlUESaaAYQf0GCE2JWo.jpg,9091
5,9,0,58000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",tt0113189,"[{'name': 'United Artists', 'id': 60}, {'name': 'Eon Productions', 'id': 7576}]",1995-11-16,352194034.0,130.0,15340000.0,25198253372.0,"['/1JXL0zrA26JjdoX8sqf57fJRDVM.jpg', '/iIxP2IzvcLgr5WaTBD4UfSqaV3q.jpg', '/hMhy6vd7vyWb06aKqbbx9Nba55X.jpg', '/9wHWq6Mnfpn8L1diMxjr26ReZWl.jpg', '/bLvWzzb9SyoyjwPpj5pgzXb9tuC.jpg', '/2is9RvJ3BQAku2EtCmyk5EZoxzT.jpg', '/hOVrTlQwZX4THosi9usXISC7mNS.jpg', '/u07QKPs7wvXxzjXi1UUBSGjjmQm.jpg', '/sGlkbGy5yWAKuAOzWVWPMONxM4f.jpg', '/9rMF25F5r3Giix9jkwfuUz2utHv.jpg', '/6dYMQoMSZ6iVZTbcgjpzypTZ2pr.jpg', '/vBPkMGAHIoOP2ni9yYKoxCbw4Z0.jpg', '/bt1UWcegfSflLONcFN6XNqgayZt.jpg', '/uiqwc2Y7wP7gSbT0h3db9Mm8YDh.jpg', '/tkjaXZuR8F94q6r2RW5aeHXWJhZ.jpg', None, '/2zJA2LCS6utcD9hvXpDkRtY55ZO.jpg', '/iWqTeFmdoY8V8RLcH89K75AKeQN.jpg', '/zKQFuK3W4LMzfIz8W86RYf6jGp7.jpg', '/kJkFC0qq7OeXgFTpBffWaSaeuOZ.jpg']",/qhx0AySf8yH3kiHrinWknUJbr1y.jpg,710
6,10,0,62000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0112346,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}]",1995-11-17,107879496.0,106.0,304517050.0,2391145500.0,"['/nmlitv4g2jXO3sJrnA9g980j2uc.jpg', '/q8pCSQzGLrhgtVXBKzMnwfoeBlH.jpg', '/aeN1cA04vVXKrVy1SuS1JOhABBs.jpg', '/ve77Q75moQhoB6cxdMfigfrHeTA.jpg', '/1sJnUz9umndJBGZIh9QfxAd7uxg.jpg', '/oWfERtTQVAhhvnzM7axvRD3lQju.jpg', '/dzUjIFu7AAbwwJfj6aFRPfvYgC3.jpg', '/rrI6LgFb1la4PCIYuTB7pjIGgut.jpg', '/7JPMhXnfY5jgPbtByutwkHHZS3M.jpg', '/htNzOMMh4Hys3EhTDWdJOlbtKpL.jpg', '/1Av0jIi4Hk30kruQjaRH2Am2TIE.jpg', '/3Ooz7bdkkSwwbzOs9SPXIXvGKYQ.jpg', '/pT9Tb2f07joxd7KYPLucak7X8J0.jpg', '/qa9ItKTmW35iicfsYXowg6P6qm6.jpg', '/pwpD8AxmseZOmnWXRsDErKk08Ro.jpg', '/jK2uDKxfysuYjNAgUxbwyhd4fKD.jpg', '/tkBnAn8PA3gSOj3bSH8zquD7P04.jpg', '/19LMwcgNFfQnmcIkWeb4SVjKNyR.jpg']",/2zw9Iq9uo4vZiTQNQWdNFwbA1TA.jpg,9087
7,13,0,44000000.0,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",tt0113987,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]",1995-12-22,13681765.0,192.0,290105157.0,5997492023.0,"['/jdoBTIru71FbPuHGEgox5RVmIO0.jpg', '/Atg0mSjK9Dl98YBsFvBuGO8PG5m.jpg', '/3nNL6AvMAYq0BmHKM79RnRZVq3i.jpg', '/atzm7ZGRFSWJHQT6qKmzjmNQ9GA.jpg', '/mIgAC6q5HcHHxZUIiCOvE6mHLGs.jpg', '/iQnivIob2OiXuVCepECf72xS2tQ.jpg', '/rrI6LgFb1la4PCIYuTB7pjIGgut.jpg', '/96qVGJhtV6tQkXmJVmbi6BBk1Ll.jpg', '/exgIZR8So9SOuivI1EjyNKPflzT.jpg', '/yJhfuqS3yXW7kLSyvRU6n3b35mq.jpg', '/39KZjhJSyDjvBhKGj0IbGVteFAm.jpg', '/fl5Jx1WFvBcg1b9VZRfXTH6LPUE.jpg', '/sihqrrqI4bQT3fjnBmrLyPe12wl.jpg', '/85thH2pUn2tPP97QhnYQI7MBiCW.jpg', '/p4MbyDNv0PC987XYFHc7h6cBth3.jpg', '/tA2iInfNHuqWvAec0wtnrji0nGw.jpg', '/40PVsGp5Wp5kbUhAefLHqjqbarc.jpg', '/68NIYqyPgupQYXWCRJd8YMPzA1o.jpg', '/5E4SUVfLMUKNCiP0dMhyOv3XHVZ.jpg', '/l5bUegMA9PHoeRgBkio2bE9R7Vj.jpg', '/jINoIyKUhX01jflM68nZaJZlWMW.jpg', '/asV7pfeMIzT8GFdA2gqBjAPGd6l.jpg', '/3AGRAverIuT6kgSfGQPiY55QZzG.jpg', '/juGwBRuoP25CN8fvVqTitbLsF3w.jpg', '/1gsXmCmJIegqK0U8dwLz005UM0.jpg', '/9olxlfcWiSYilDfg1MeKSWxuVyc.jpg', '/mGwPTNlYQINjvCrQn0ZoAMCAPge.jpg', '/hDUvgqpIv753skoeRGjVw6gYp7A.jpg', '/6AJL0ylRtJ9vcR57yEenhWHXHFt.jpg', '/fkJnjCERaqOky0gJrSHmwjQ9oOZ.jpg', '/nqhFfFdZ73cEjLjAuLW19f3d7EO.jpg', '/oXaRle3bIGuvlnMWexcyS4ywwI8.jpg', '/fKmtS6OdDWPiAdxZflbJGz1eWml.jpg', '/n3XgupzMwQfX7YyTjolsnbhIIyV.jpg']",/uHdNGBkrI74eYfUP2Uie7nuo0Nn.jpg,10858
8,14,0,98000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",tt0112760,"[{'name': 'Le Studio Canal+', 'id': 183}, {'name': 'Laurence Mark Productions', 'id': 415}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Carolco Pictures', 'id': 14723}]",1995-12-22,10017322.0,119.0,255000211.0,229221390608.0,"['/6b8cRJOItz7yNpYuLCPkl5kv4m2.jpg', '/tEQG1Us5IuoKYtufZe6waWtxfeg.jpg', '/wMlcjLBQouQjE0iceseNTxUF3BF.jpg', '/jhJgkb5P0oAW7QtULjqD2kaN0ez.jpg', '/pv65v8oEhLo0ibCz1K23UCoKMuS.jpg', '/2KUPUQQFmc8Zyzf16uaiYmVrNvX.jpg', '/2ze2PNirf4vle9sWRkSxHgv1iH0.jpg', '/6jouXtMcbJ7nTuDNwvaePnqCHTX.jpg', '/gz0GFQmLLjo6Q9Gvf1rKdZd2XhM.jpg', None, '/MCW4IR3mEB6oeRbX9bfeHkZ3qm.jpg', '/3HLdJB6ZQNi3DK4Ix9FXZ0a67K8.jpg', None, '/jcVb6Z421Z3zshe9R7dCOn2NpO9.jpg', '/fA5B1EMFzgRzUr8K07iwYi3JwV8.jpg', '/lrgPf78F1KneQzji4slgXqzhJ1t.jpg', None, None, None, '/di5Gr8kLKeLuI1gyzqBDIc5xyod.jpg', None, None, None, '/8TLhzJ9VOjZPm9myvZaWMsuOW0j.jpg', '/jk1UaBYHiiEm6BXLhlHtG50NDLc.jpg', '/Adw0Z2bT8qU5H6S0swuUWrBKDDs.jpg', '/gup3bUaA5IokhbF1511vS6T2AoR.jpg', '/iUKR4K7ftO6xj6ExewkIBlL9tYw.jpg', None, '/lsR2X7T6FJcNIkY651zQ46D0nAw.jpg', '/8yLz3515hR5RgjeH0kbGcjSYylO.jpg']",/lOCRZzC1UZfkObWpQtKxga5ZV8F.jpg,1408
9,15,0,52000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",tt0112641,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Légende Entreprises', 'id': 10898}, {'name': 'Syalis DA', 'id': 11583}, {'name': 'De Fina-Cappa', 'id': 11584}]",1995-11-22,116112375.0,178.0,214555440.0,346862891868.0,"['/lvTSwUcvJRLAJ2FB5qFaukel516.jpg', '/m57fGJemBTpsjydGlaZJywlIWz4.jpg', '/2CaYAhUZgkAeqtpIzuqGcqArsOy.jpg', '/fl5Jx1WFvBcg1b9VZRfXTH6LPUE.jpg', '/h5BcaDMPRVLHLDzbQavec4xfSdt.jpg', '/gYtn6UNocRfxISIAKmUfRxl7zOr.jpg', '/kwu2T8CDnThZTzE88uiSgJ5eHXf.jpg', '/bfRFoTvD2aVthXu912e8rkEzS6z.jpg', '/jhPsFq7qYT2QKc4FO70fqxgfpXs.jpg', '/lwQKlZHqUjJw4JcoxSPeGAUraRV.jpg', '/c9OXdbBROqUNtrtYBmuei1SeSkh.jpg', '/9YTT2HozwL6g01HuBezUBUdO3IA.jpg', '/fFFjfOX7BUsfBQQP54K8QEkkEC2.jpg', '/rXFjIQVimKotQUtXwVNGg7XVMeW.jpg', '/bS0yz7PyNJ9f8Kwc4qVWm4NxDfz.jpg', '/xSR9RmzUTU9K6qZ6Hu5HCS2IJSL.jpg', None, None, None, None, '/vvkxGzHbgh6uj9cGE77PobeI95t.jpg', None, '/sBHstIj9AHHF6PvQmhT2J8Vgh0k.jpg', None, '/mUKJsrGyPIFrP8nVTDDVRUAU6em.jpg', '/3bZ4HUh4JFPKo1yw2XDYjMmwj6m.jpg', None, '/1JyIKBSkpK1tADOXpYYrO1khcQH.jpg', '/hqWxLNvz1JWVScAAO9v0IjJtG09.jpg', None, '/sXh8zi1BVBe0q9Hza3GhNvdTJsv.jpg', '/mGvZblgXkpqFLwGZUZRby6qnLII.jpg', None, None, '/vaK8wxkMeKJdZEdGUufyV0Ma24M.jpg', None, '/1XPYBTNuNVl01zjd19U4vZA4zqs.jpg', None, None, '/ffEKUmCHFYhYFIGknT4snW8mqRX.jpg', '/6qzUvSRwyWCix4nz8ZIi5GW3Kyk.jpg', '/gvFFIid37pDICRPlEFYOQdH9mWc.jpg', '/pEDgSXNYJpqkKFxjUywDYn7pKBE.jpg', None, '/qxyUcJpsXm1lqS1SSGCMeaks82q.jpg']",/4Xwx5XL1RJj0JQmEo8Fhr6nkpOg.jpg,524
