,rownum,adult,budget,genres,production_companies,release_date,revenue,runtime,DirectorHistoryGross,ActorHistoryAverage_Gross,production_history_gross,genre_10752,genre_12,genre_14,genre_16,genre_80,genre_18,genre_10769,genre_10770,genre_27,genre_28,genre_10402,genre_35,genre_36,genre_99,genre_37,genre_878,genre_9648,genre_53,genre_10749,genre_10751
0,0,0,30000000.0,"[16, 35, 10751]",[3],1995-10-30,373554033.0,81.0,1.0,25891927192.0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1,0,65000000.0,"[12, 14, 10751]","[559, 2550, 10201]",1995-12-15,262797249.0,104.0,62000000.0,224623664428.0,687116542.3333334,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,3,0,16000000.0,"[35, 18, 10749]",[306],1995-12-22,81452156.0,127.0,1.0,2412262831.0,3642835380.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,5,0,60000000.0,"[28, 80, 18, 53]","[508, 675, 6194]",1995-12-15,187436818.0,170.0,75505856.0,476679998887.0,1989192000.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4,8,0,35000000.0,"[28, 12, 53]","[33, 21437, 23770]",1995-12-22,64350171.0,106.0,112382982.0,26324609819.0,1608593966.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5,9,0,58000000.0,"[12, 28, 53]","[60, 7576]",1995-11-16,352194034.0,130.0,15340000.0,25198253372.0,114628876.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6,10,0,62000000.0,"[35, 18, 10749]","[5, 97]",1995-11-17,107879496.0,106.0,304517050.0,2391145500.0,647817788.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
7,13,0,44000000.0,"[36, 18]","[915, 1504]",1995-12-22,13681765.0,192.0,290105157.0,5997492023.0,810571520.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,14,0,98000000.0,"[28, 12]","[183, 415, 8411, 14723]",1995-12-22,10017322.0,119.0,255000211.0,229221390608.0,389476997.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,15,0,52000000.0,"[18, 80]","[33, 10898, 11583, 11584]",1995-11-22,116112375.0,178.0,214555440.0,346862891868.0,1179215230.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
